repeat_family	meth_CpG	meth_CHG	meth_CHH	unmeth_CpG	unmeth_CHG	unmeth_CHH	within_meth_C	outside_meth_C	odds_ratio_meth_C	fisher_p_meth_C	within_meth_CpG	outside_meth_CpG	odds_ratio_meth_CpG	fisher_p_meth_CpG	within_meth_CHG	outside_meth_CHG	odds_ratio_meth_CHG	fisher_p_meth_CHG	within_meth_CHH	outside_meth_CHH	odds_ratio_meth_CHH	fisher_p_meth_CHH
DNA	9503	1456	5580	715049	611913	3428622	0.012744600940414233	0.9872553990595858	1.0062823908870189	0.42479992694974367	0.011381015512816367	0.9886189844871837	1.0203717533609082	0.052400021835247584	0.01077496891835889	0.9892250310816411	1.3047133030679077	4.030525820995975e-22	0.017032395127147746	0.9829676048728523	1.182730840529543	1.1192453893284595e-33
LINE	56818	5791	20033	5438412	7307048	39051928	0.0636821640315444	0.9363178359684556	0.4249896254836005	0.0	0.0680465683896875	0.9319534316103125	0.78749206566109	0.0	0.04285566277899473	0.9571443372210052	0.40810565885388395	0.0	0.061148740426908745	0.9388512595730912	0.33090367340114357	0.0
LTR	8094	4169	12380	690751	721990	2298000	0.018989370637561395	0.9810106293624387	1.9392132760585614	0.0	0.009693564091416992	0.990306435908583	0.8984646442506548	3.3699036123746347e-22	0.030852228997691078	0.9691477710023089	3.226981601755207	0.0	0.037788718938008795	0.9622112810619912	4.0188684540699	0.0
Low_complexity	3496	402	1244	122047	146485	1033039	0.003962315619784145	0.9960376843802159	1.1435633282172677	6.54608950543416e-21	0.00418689153244302	0.995813108467557	2.203806775365131	0.0	0.0029749570777337043	0.9970250429222663	1.5024995211495773	2.1094850824201374e-14	0.0037971862971634043	0.9962028137028366	0.8723472484972931	1.0097695795425923e-06
RC	900	502	2056	20799	22613	82999	0.0026646611071982837	0.9973353388928017	7.932911257089244	0.0	0.001077861092448146	0.9989221389075519	3.3240096030149036	1.6263463493697304e-194	0.003714996151796815	0.9962850038482032	12.183671242474247	0.0	0.006275735552225047	0.993724264447775	18.061736903144176	0.0
SINE	132	9	16	5584	5209	20024	0.00012098085420188854	0.9998790191457981	1.4740293031687783	4.781641544250379e-06	0.0001580862935590614	0.9998419137064409	1.814655351934817	5.169963420270818e-10	6.660351666567995e-05	0.9999333964833343	0.94500824185507	1.0	4.883840896673189e-05	0.9999511615910333	0.5791362036979182	0.02765345210030267
Satellite	2074	1357	3218	65710	85039	510274	0.005123577704384439	0.9948764222956156	2.920016257653002	0.0	0.0024838710063749495	0.9975161289936251	2.4263122563001907	3.4956790144545375e-266	0.010042330235036409	0.9899576697649636	8.806315074762903	0.0	0.00982262500343395	0.990177374996566	4.606407128992497	0.0
Simple_repeat	62470	20580	19904	1568651	2752614	15325262	0.07933415836624988	0.9206658416337501	1.5606086256503684	0.0	0.07481553605026187	0.9251844639497382	3.2232228283786943	0.0	0.15230004144218814	0.8476999585578119	4.644334242332269	0.0	0.06075498075461447	0.9392450192453855	0.9375754085361626	6.425289183078347e-19
Unknown	66280	18315	58606	2408441	2758071	12274421	0.11034763886983848	0.8896523611301616	2.546117089817097	0.0	0.07937848134162567	0.9206215186583743	2.2083412904969784	0.0	0.1355381564146587	0.8644618435853413	4.044714929252168	0.0	0.17888898724401806	0.821111012755982	3.996833063527142	0.0
rRNA	15	4	15	704	704	1894	2.6199675432256116e-05	0.9999738003245677	2.9791291667161186	5.3577385224125835e-08	1.7964351540802432e-05	0.9999820356484592	1.6355221904147683	0.06618121897749303	2.960156296252442e-05	0.9999703984370375	3.107743586026034	0.0421547488220883	4.578600840631114e-05	0.9999542139915937	5.740565647068343	1.2635656255369215e-07
snRNA	123	25	25	2612	1697	7534	0.0001333101132288326	0.9998666898867712	4.226768875311928	9.539157591906922e-53	0.00014730768263457994	0.9998526923173654	3.6150393479462126	2.2012983250000316e-31	0.00018500976851577763	0.9998149902314842	8.058935466120785	7.473470538608977e-15	7.631001401051857e-05	0.9999236899859895	2.405252850265461	0.00011630007878849866
sum_repeats	209905	52610	123077	11038760	14413383	74033997	0.2971289779198382	0.7028710220801617	1.172664358924392	0.0	0.25138714734480894	0.7486128526551911	1.6139509682274482	0.0	0.38933455686460244	0.6106654431353975	2.631692324069811	0.0	0.37568030377490375	0.6243196962250962	1.3282935952530732	0.0
not_repeats	625082	82518	204534	53054819	59495132	163423266																	
