repeat_family	meth_CpG	meth_CHG	meth_CHH	unmeth_CpG	unmeth_CHG	unmeth_CHH	within_meth_C	outside_meth_C	odds_ratio_meth_C	fisher_p_meth_C	within_meth_CpG	outside_meth_CpG	odds_ratio_meth_CpG	fisher_p_meth_CpG	within_meth_CHG	outside_meth_CHG	odds_ratio_meth_CHG	fisher_p_meth_CHG	within_meth_CHH	outside_meth_CHH	odds_ratio_meth_CHH	fisher_p_meth_CHH
DNA	10304	1366	4406	714248	612003	3429796	0.01049595955177369	0.9895040404482263	0.826248681696257	1.1187414061497064e-135	0.009521486179799369	0.9904785138202006	0.8496911974549748	4.446828550389493e-63	0.00988436880417951	0.9901156311958205	1.1955688493223313	1.66099746194752e-10	0.014155595894041863	0.9858444041059581	0.979825357219016	0.18089601868924293
LINE	92084	9467	32686	5403146	7303372	39039275	0.08764282920822623	0.9123571707917738	0.6005143924414917	0.0	0.08509089027374273	0.9149091097262573	1.0059876926819786	0.08597623869170515	0.06850316212969797	0.931496837870302	0.6706463401516198	0.0	0.10501357407913126	0.8949864259208687	0.5964088609473158	0.0
LTR	7202	3218	8898	691643	722941	2301482	0.012612649080689485	0.9873873509193105	1.2770418152662353	1.943630037026038e-230	0.0066550605072704825	0.9933449394927295	0.6117526841304785	0.0	0.023285431048206198	0.9767145689517938	2.4133539725124318	0.0	0.028587492570400476	0.9714125074295995	3.007119291748088	0.0
Low_complexity	4045	460	1391	121498	146427	1032892	0.0038494760834323015	0.9961505239165677	1.110822135718955	2.6475429451151673e-15	0.0037378116845194534	0.9962621883154805	1.9678124062299263	5.432e-320	0.0033285575768100843	0.99667144242319	1.6822789878640256	1.112401390171785e-24	0.004469004513983711	0.9955309954860163	1.0275983055480613	0.3132128769498202
RC	667	360	1397	21032	22755	83658	0.0015826204250746097	0.9984173795749254	4.665375261969759	0.0	0.0006163462036030841	0.9993836537963969	1.8715658644922706	1.098957238918846e-47	0.0026049581035905004	0.9973950418964095	8.480069220004648	1.5161031739673895e-197	0.004488281312749996	0.99551171868725	12.79347615746716	0.0
SINE	211	21	46	5505	5197	19994	0.0001815051477602069	0.9998184948522398	2.2189256333680043	9.279678379178668e-32	0.0001949760853976773	0.9998050239146024	2.2615570777592966	5.314781966196628e-25	0.00015195588937611253	0.9998480441106239	2.1611092110430863	0.0017745477081235013	0.0001477887905415174	0.9998522112094584	1.7554351887924213	0.00039243696005953905
Satellite	1644	1016	2342	66140	85380	511150	0.0032657868672537945	0.9967342131327462	1.851977805223502	0.0	0.0015191501630037036	0.9984808498369963	1.4671784414885258	2.0325034731242568e-47	0.0073517706479109685	0.9926482293520891	6.40346220471187	0.0	0.007524377118439864	0.9924756228815601	3.514648573039824	0.0
Simple_repeat	53638	17542	20278	1577483	2755652	15324888	0.05971258202824821	0.9402874179717517	1.1486490331617474	0.0	0.04956458421118775	0.9504354157888123	2.0585212547263794	0.0	0.12693381959217934	0.8730661804078207	3.75387193773108	0.0	0.06514915423045413	0.9348508457695459	1.0102130728450607	0.16213152510997447
Unknown	60720	14211	43483	2414001	2762175	12289544	0.07731205239883863	0.9226879476011614	1.7163162349063312	0.0	0.05610875784524628	0.9438912421547537	1.5127550106661471	0.0	0.10283072113923501	0.897169278860765	2.9521003778935224	0.0	0.13970217345906089	0.8602978265409391	2.9754745659793307	0.0
rRNA	9	1	6	710	707	1903	1.0446339439436368e-05	0.9999895536605605	1.1806441687660583	0.4938162974038912	8.316515490896188e-06	0.9999916834845091	0.7478562480294478	0.46658361860120656	7.235994732195835e-06	0.9999927640052678	0.7564047588462441	1.0	1.927679876628488e-05	0.9999807232012338	2.405561075676709	0.04183349998162496
snRNA	121	19	19	2614	1703	7540	0.00010381049817939891	0.9998961895018206	3.2854139792246846	6.025558108534714e-36	0.00011181093048871542	0.9998881890695113	2.731151243252584	5.648417291634078e-21	0.00013748389991172086	0.9998625161000882	5.967100279354177	1.5777149779398434e-09	6.104319609323545e-05	0.9999389568039068	1.922622459291512	0.009440447926104815
sum_repeats	230645	47681	114952	11018020	14418312	74042122	0.256769717628916	0.743230282371084	0.9576397475846624	1.9016397521680012e-121	0.21312919059975013	0.7868708094002499	1.2986828033932944	0.0	0.3450194648258296	0.6549805351741704	2.1733207318431944	0.0	0.3693177619636632	0.6306822380363367	1.292547455137909	0.0
not_repeats	851539	90517	196303	52828362	59487133	163431497																	
