repeat_family	C_meth_in_repeat	n	sem	C_meth_not_in_repeat	n	sem	ttest_C	CpG_meth_in_repeat	n	sem	CpG_meth_not_in_repeat	n	sem	ttest_CpG	CHG_meth_in_repeat	n	sem	CHG_meth_not_in_repeat	n	sem	ttest_CHG	CHH_meth_in_repeat	n	sem	CHH_meth_not_in_repeat	n	sem	ttest_CHH
DNA	88.25796493222117	7641	0.25961917247659017	87.9347493407537	817632	0.02537546571698621	0.21536213361815892	91.03557901843932	5156	0.2825191536847186	89.36079810316099	595886	0.02809560292632757	3.887207427983735e-09	80.8010706648452	471	1.2794255048260155	84.8115903423275	64001	0.10140334277494754	0.0018877663598681669	82.8909435674711	2014	0.5721000463006015	83.8149535071136	157745	0.0645096965478904	0.10865808232244338
LINE	90.30465729783731	62750	0.08294928380127727	87.74296229436612	762523	0.026455067371951326	3.2764683917901655e-189	90.34065625952383	45790	0.09588746633845843	89.29554388601152	555252	0.029212548561364723	1.9881345923434324e-25	89.49606635144913	3798	0.3614339300567936	84.48722414509743	60674	0.10490764588631324	1.1606347330279856e-39	90.41274390768052	13162	0.18499031119020995	83.20988605504637	146597	0.06764109026698933	7.891345078765992e-282
LTR	81.42754281383172	10460	0.2552893569708859	88.02131530203071	814813	0.02535526943034928	2.1057261460606024e-141	82.32383745866345	4218	0.40357521602721774	89.42499972775663	596824	0.02800274119478251	1.1843727773815648e-66	83.16877556020668	1649	0.6205735478974661	84.82464363184923	62823	0.10246612717939092	0.00854738954452	79.97928163145146	4593	0.38758292112991277	83.91649820702516	155166	0.06497464282674031	2.1288057789954122e-23
Low_complexity	82.55557616622765	2349	0.5497947104725872	87.95310506755395	822924	0.02527663043011053	2.7843748803366823e-22	82.04232330300113	1722	0.6396064099845549	89.39623423745493	599320	0.02797597833715699	1.7583494444959583e-29	76.92597812594789	132	2.568201933664744	84.79840952237831	64340	0.10116519498280357	0.0026590329757449553	85.84230014964788	495	1.16302882151524	83.79696769358077	159264	0.06420090867569549	0.079712447744263
RC	73.7442385453836	1311	0.8221036954727313	87.96032509544521	823962	0.025253834807612563	1.82266265981935e-60	74.72417725988302	379	1.539990233548479	89.38440942881077	600663	0.02795728564965706	2.1338812874880104e-19	73.95398670175801	184	2.1780427042541723	84.81328341571245	64288	0.10117631389504277	1.4560491046767026e-06	73.19612299248496	748	1.0873475760665876	83.8532019880772	159011	0.06417611941665764	2.3249956741280013e-21
SINE	91.11922095639862	137	1.6746188545905876	87.9372136832658	825136	0.025257815198357254	0.059559353343384976	91.74757285256987	103	1.8521650467576543	89.37475847617719	600939	0.027963491531315793	0.20311223925959013	85.71428571428571	7	9.22138891954147	84.78219030144179	64465	0.10111030468639431	0.922784172803628	90.123454341182	27	4.197113117970783	83.80223667178343	159732	0.06411050607482963	0.14413808870882605
Satellite	79.21493389861752	2475	0.5486521368773429	87.96398037139997	822798	0.025271833231699826	1.7935419163892458e-54	79.54609935530648	946	0.8747758641362613	89.39065978431641	600096	0.027966107934788726	1.224763788399595e-27	77.16898574869087	477	1.3021296900653399	84.8390388558531	63995	0.10136113792925852	8.000769590081343e-09	79.84481483539248	1052	0.8353834474820158	83.82954410402623	158707	0.06428576993985148	2.24775094089858e-06
Simple_repeat	82.85770857195855	28276	0.16211465709024356	88.11797223257494	796997	0.02548756936300703	1.1643370578334157e-221	83.52780333646386	20510	0.1841192767023033	89.58175042459052	580532	0.02816986307226578	2.934265576535579e-226	69.88637705831017	2783	0.644033755719354	85.45429672111993	61689	0.10075500252986554	2.707344989581808e-115	87.34407661981714	4983	0.34548459456211317	83.68931014839492	154776	0.06520556804863374	4.517802179652302e-25
Unknown	80.86147042515849	66148	0.10455695313214057	88.55434814733127	759125	0.0257792454360229	0.0	81.8524504376304	34599	0.14310266806527008	89.83466130083289	566443	0.028237146165392232	0.0	80.76681901880953	7320	0.3181532480389562	85.29659124028484	57152	0.10633459509929082	3.7371109608384773e-41	79.47494728524183	24229	0.17421330243034103	84.57709513429054	135530	0.0686353429236122	1.1912615704517509e-161
rRNA	79.16666269302368	8	10.326997503274715	87.9378269401037	825265	0.025255234796296717	0.4237838061027308	83.33332538604736	4	16.666674613952637	89.37520531250556	601038	0.027960526131742002	0.741003042529653	50.0	1	NA	84.78283100591653	64471	0.1011037119258408	NA	83.33333333333333	3	16.666666666666675	83.80331381184132	159756	0.064104474258344	0.9800644599700667
snRNA	76.23217210650444	100	3.0086751662596543	87.93916047400434	825173	0.0252552381604377	0.0001810884189078104	78.8541133834655	83	3.004285294576069	89.37661819276929	600959	0.0279608776133331	0.0007493184395940022	45.369533313645256	9	14.339231683614216	84.78779411418367	64463	0.10108343867050894	0.025098751318360684	83.75	8	8.223984956906753	83.80330765581763	159751	0.0641058326723394	0.9950091610473368
all_repeats	84.73114506571756	181655	0.05911803925990583	88.8427730829674	643618	0.027649349101838548	0.0	85.98065720801101	113510	0.07227282326517447	90.1654939249894	487532	0.029971362039480063	0.0	80.94856350920246	16831	0.21636811986569518	86.13670211286619	47641	0.11282750571596728	1.756689325196851e-99	83.2078279769304	51314	0.11401626933101446	84.08507276975716	108445	0.07749442447747283	1.9825453686201303e-10
