repeat_family	meth_CpG	meth_CHG	meth_CHH	unmeth_CpG	unmeth_CHG	unmeth_CHH	within_meth_C	outside_meth_C	odds_ratio_meth_C	fisher_p_meth_C	within_meth_CpG	outside_meth_CpG	odds_ratio_meth_CpG	fisher_p_meth_CpG	within_meth_CHG	outside_meth_CHG	odds_ratio_meth_CHG	fisher_p_meth_CHG	within_meth_CHH	outside_meth_CHH	odds_ratio_meth_CHH	fisher_p_meth_CHH
DNA	11800	1566	5942	712752	611803	3428260	0.015182861955324263	0.9848171380446757	1.2025631139461874	3.1131407189187502e-134	0.014421196714900273	0.9855788032850997	1.3014999058296808	2.475781712570679e-161	0.011663675025882038	0.9883363249741179	1.413867362448151	4.729667024942172e-38	0.018615638138561503	0.9813843618614385	1.2949420846543447	5.10749993102685e-80
LINE	56655	6062	21459	5438575	7306777	39050502	0.06619186803145719	0.9338081319685428	0.4429764544379503	0.0	0.06924007626124365	0.9307599237387564	0.8025346448887718	0.0	0.045150190298146174	0.9548498097018538	0.43101250346974534	0.0	0.06722870730652832	0.9327712926934717	0.36620802639636785	0.0
LTR	7595	3939	11731	691250	722220	2298649	0.01829445221621188	0.9817055477837882	1.8663557654182503	0.0	0.009282117716073523	0.9907178822839264	0.8595711598616854	9.279942484263475e-41	0.029337941204948495	0.9706620587950515	3.062858712416128	0.0	0.036751943958846345	0.9632480560411537	3.903425998040026	0.0
Low_complexity	3570	506	1527	121973	146381	1032756	0.004405923738123154	0.9955940762618768	1.2727004293575226	5.225571701418791e-67	0.004363023073914744	0.9956369769260852	2.2989192591199687	0.0	0.0037687225817984106	0.9962312774182016	1.906285099513563	4.0757036901576474e-39	0.004783924509859208	0.9952160754901408	1.1004673499628352	0.0002383093118554409
RC	825	453	1905	20874	22662	83150	0.0025029547132689625	0.997497045286731	7.434627886573921	0.0	0.0010082616347281972	0.9989917383652718	3.0987905621060827	1.0399741270670325e-161	0.0033739749595942292	0.9966260250404058	11.037679313531171	4.951898321106447e-294	0.005968157296189778	0.9940318427038102	17.14061754577391	0.0
SINE	144	15	31	5572	5203	20009	0.00014940665897615548	0.9998505933410239	1.8224986994331658	5.809488330095583e-14	0.0001759874853343762	0.9998240125146656	2.02505747135474	5.81910561156737e-14	0.0001117210251521268	0.9998882789748479	1.5870791777783608	0.07343718375740663	9.711962004298327e-05	0.999902880379957	1.1526249790521295	0.43869513905094976
Satellite	1919	1264	2982	65865	85132	510510	0.004847852908357887	0.9951521470916421	2.7602775703032756	0.0	0.0023452776691435277	0.9976547223308565	2.285813980389186	1.9985512339021615e-218	0.009414358386152552	0.9905856416138474	8.241474017453838	0.0	0.009342280869941164	0.9906577191300588	4.3771479602880135	0.0
Simple_repeat	74145	24359	26408	1556976	2748835	15318758	0.09822465571594491	0.901775344284055	1.9751596383039896	0.0	0.09061522291748142	0.9093847770825185	4.003336885523592	0.0	0.18142749677871045	0.8185725032212896	5.737682996163567	0.0	0.08273338471274523	0.9172666152872547	1.30798254882284	0.0
Unknown	64708	17665	56495	2410013	2758721	12276532	0.1091989679931619	0.8908010320068381	2.5158915743921977	0.0	0.07908193195150567	0.9209180680484943	2.1984888060066083	0.0	0.131570127287488	0.868429872712512	3.907452315020658	0.0	0.17699267530091417	0.8230073246990858	3.9447851166521235	0.0
rRNA	10	9	12	709	699	1897	2.4376875938214843e-05	0.9999756231240617	2.7695319922835426	8.96519674089341e-07	1.222135314822057e-05	0.9999877786468517	1.1050999226770186	0.7359662683466932	6.703261509127608e-05	0.9999329673849088	7.088160639198352	7.974460205784698e-06	3.7594691629541907e-05	0.9999624053083704	4.706227374643671	1.5671433821027058e-05
snRNA	124	26	28	2611	1696	7531	0.0001399704489355562	0.9998600295510645	4.440155286523569	3.9403216396467054e-57	0.00015154477903793508	0.9998484552209621	3.7214331726157677	9.58360137900566e-33	0.00019364977693035312	0.9998063502230696	8.440435502626233	7.652083132033218e-16	8.772094713559778e-05	0.9999122790528644	2.7661507273521497	2.8874705046754512e-06
sum_repeats	221495	55864	128520	11027170	14410129	74028554	0.3191632912557001	0.6808367087442999	1.3008756263141583	0.0	0.2706968615565115	0.7293031384434885	1.7867665097183318	0.0	0.4160788899398941	0.5839211100601059	2.942152203425081	0.0	0.40263914735239387	0.5973608526476062	1.488095110946311	0.0
not_repeats	596745	78399	190674	53083156	59499251	163437126																	
