repeat_family	C_meth_in_repeat	n	sem	C_meth_not_in_repeat	n	sem	ttest_C	CpG_meth_in_repeat	n	sem	CpG_meth_not_in_repeat	n	sem	ttest_CpG	CHG_meth_in_repeat	n	sem	CHG_meth_not_in_repeat	n	sem	ttest_CHG	CHH_meth_in_repeat	n	sem	CHH_meth_not_in_repeat	n	sem	ttest_CHH
DNA	80.59819154447108	12954	0.2482034413507799	84.9018699067202	862991	0.02754848062989982	7.736184414145558e-66	81.24042550213788	7776	0.31719370770564115	86.90507438465613	539311	0.03211046368840481	2.7256054661326186e-69	69.16879448437714	979	1.1654907787127884	76.21667300448973	90820	0.11168952418128017	2.455787528911093e-09	82.07363056971874	4199	0.39949271516690366	83.64978441526804	232860	0.05312586129102013	9.333317219536903e-05
LINE	88.993511458689	50085	0.10202251163270512	84.58622353005231	825860	0.02836497406725421	0.0	90.26565134099019	35180	0.1112155226923139	86.58807655685872	511907	0.03329365975396736	1.1918147219997594e-217	79.21386487446932	3411	0.5656757467018594	76.0229442795532	88388	0.1134125668351196	3.4083960386164e-08	88.00208057643891	11494	0.22496285727236356	83.39866583714662	225565	0.05410551776476811	8.915070845273962e-87
LTR	82.91001047861721	18496	0.18282538616322952	84.87981796249682	857449	0.02770368760941846	2.005968283594849e-26	82.44212261567503	6222	0.3036307237114586	86.87497477790795	540865	0.03215879618390811	5.20715605853475e-47	85.32714262281863	3037	0.4489981520257642	75.82722290983149	88762	0.1138478563084036	2.796245031311532e-88	82.43045737276968	9237	0.2648799508357589	83.67017162060421	227822	0.053734301091584565	4.5543375584026395e-06
Low_complexity	73.37129970840188	3118	0.5706818570503632	84.8791878269653	872827	0.027406102549774904	6.085925756065541e-85	73.55358966402027	1964	0.6963431379557896	86.87237351949518	545123	0.031985171188891194	8.468101766323551e-75	61.63601421856608	263	2.2742594518925956	76.18318716492396	91536	0.11131920542662753	7.544249327319626e-10	76.43343507427426	891	1.0622165711662492	83.64898624305744	236168	0.052702917749714515	2.1162769355034162e-11
RC	83.9872073179933	2678	0.4686148856035821	84.84083429780337	873267	0.02744013305809661	0.06910157869174134	82.23870161758072	696	0.9102969584811571	86.83040164249059	546391	0.032005331581218224	5.908152581236418e-07	85.13085384266351	372	1.2985578158329192	76.1049341489767	91427	0.11153185733571486	1.8897035460227478e-11	84.47883679644661	1610	0.6016640626257823	83.61600621136334	235449	0.05286420061787438	0.153318984188078
SINE	91.29487163837139	130	1.7648731995099607	84.83726614938594	875815	0.02739645786817582	0.0003683184721700618	89.96563516203891	97	2.1509615315239006	86.82400309613922	546990	0.031989693152185236	0.14744117392080502	89.28571428571429	7	10.714285714285715	76.14050780098444	91792	0.1112254974503462	0.2658337756545877	96.7948731642503	26	2.2681795304939616	83.62042123670247	237033	0.05266848863737453	4.683483110826701e-06
Satellite	82.07840977832278	4695	0.37723559326814066	84.8530966450826	871250	0.027465411448185994	2.5769797540400896e-13	84.02224377283706	1582	0.5993672044595018	86.8326870157364	545505	0.03203133324541298	3.0774505342153883e-06	83.99915754183745	936	0.8500842261971232	76.06056679406143	90863	0.11199299562156215	1.2982578651652138e-19	79.8400242542202	2177	0.57842269379232	83.65691811590555	234882	0.05287583357357683	6.196078520632697e-11
Simple_repeat	63.78461720165232	69946	0.13708750982898044	86.66529332065011	805999	0.026323349514304747	0.0	69.38709882349539	43326	0.15853132494348607	88.32427019269286	503761	0.031054927462168782	0.0	35.91853655811916	13522	0.299133495450763	83.08984811284382	78277	0.10077454219731703	0.0	74.02068558719836	13098	0.2974187870966301	84.1833758282935	223961	0.05271986519774991	1.1427095727413188e-238
Unknown	83.35446386362923	109894	0.07485492396094698	85.05107771428764	766051	0.02941737906821336	1.2459792353580237e-98	82.9316735486254	50576	0.1084458017694264	87.2211004363904	496511	0.03341746321356519	4.655631584577366e-309	82.70936753480606	13026	0.24177075611525312	75.0554412115773	78773	0.12286353484521781	6.161929585627546e-172	83.99790263816664	46292	0.11356139906249342	83.53061622175511	190767	0.05935712439062865	0.00026578050205667403
rRNA	74.96598588852655	21	6.237704011071463	84.83846121379683	875924	0.027393982793244356	0.1291762421364192	83.33333778381348	8	8.333332061768669	86.82461116852528	547079	0.031986581002905044	0.6878085844127273	69.04761664072673	6	14.83086987497652	76.14197385822577	91793	0.11122382174142799	0.6525910520321621	70.47618593488421	7	10.84836997228843	83.62225435938116	237052	0.052664555029753035	0.27114368422557655
snRNA	80.18558688847335	143	2.4124514741206498	84.83898420763185	875802	0.027395350739977807	0.055752203050862086	84.5986403527661	107	2.0993957263657017	86.82499554947195	546980	0.03198993951116512	0.2913938478265223	42.68343587432589	14	12.063250807116306	76.14661354214438	91785	0.11121470116867119	0.015798444375061785	82.58710477568887	22	6.547267986515929	83.62196221432309	237037	0.05266557701389657	0.8759237816947382
all_repeats	79.07261750677459	272160	0.05684831337874752	87.43710924467098	603785	0.02977871975187014	0.0	80.48253134004882	147534	0.07257393999063838	89.16633923771101	399553	0.03389960239727702	0.0	64.32561106766339	35573	0.20346839425304308	83.61717941091263	56226	0.11763397936756347	0.0	82.62763567101636	89053	0.08926667598641437	84.2200798230514	148006	0.06499161908393646	4.0132300327159856e-47
