repeat_family	C_meth_in_repeat	n	sem	C_meth_not_in_repeat	n	sem	ttest_C	CpG_meth_in_repeat	n	sem	CpG_meth_not_in_repeat	n	sem	ttest_CpG	CHG_meth_in_repeat	n	sem	CHG_meth_not_in_repeat	n	sem	ttest_CHG	CHH_meth_in_repeat	n	sem	CHH_meth_not_in_repeat	n	sem	ttest_CHH
DNA	81.61005611978871	11742	0.2550309120244855	85.55891900149257	827150	0.02745169048202639	5.665937381349818e-53	82.05606434212181	6952	0.32949501390254354	87.45063908890532	515938	0.03216060701354705	1.2398521786783218e-58	74.20403002989865	916	1.145314843684806	77.98286244680727	86480	0.11014776464560769	0.0010607063622685522	82.56082295940656	3874	0.41353322701906264	84.13129450827229	224732	0.053074456828352955	0.00016773497293552604
LINE	89.36750731640448	50342	0.0999317160056221	85.25697302355044	788550	0.02831789484481149	0.0	90.40111148967227	35186	0.11026769373031965	87.16087643464571	487704	0.033401904509981914	2.0497106017125403e-172	81.40343025301814	3469	0.5375046351075475	77.80023516102757	83927	0.1119830995590053	6.005007774634019e-11	88.61958114991923	11687	0.21841238162072496	83.86143058320702	216919	0.054170130632796125	1.289411700729033e-97
LTR	82.71560817162664	17823	0.18617682977243602	85.56416677112428	821069	0.027601197200890996	1.9304295529435316e-51	82.50995912167484	6128	0.3075894800228138	87.43665470769994	516762	0.03221101496069681	4.892263647751718e-56	84.66690404464458	2900	0.4656570049116834	77.71249306686484	84496	0.11220718526780414	2.5220586543953088e-46	82.21548984830117	8795	0.2695912773912362	84.18027065234216	219811	0.05367231369993497	9.472872548902695e-13
Low_complexity	75.24929820384479	2822	0.5771788369190455	85.53825829357815	836070	0.027321547128924144	2.5683036561944395e-67	74.95784287488667	1856	0.7010001759126027	87.42316208382232	521034	0.032045926272652306	2.4342514530875442e-65	65.8290006589452	218	2.400662290523749	77.97354967725379	87178	0.10975107604615887	9.171827890167602e-07	78.71796926712608	748	1.0860649523554338	84.12236421177217	227858	0.052693686620921165	8.288253944186283e-07
RC	84.28833055383622	2541	0.47430855199097466	85.50733900372671	836351	0.02735144137685607	0.010349969613471236	82.88397264622085	674	0.9198558790337508	87.38471780258459	522216	0.032063967369010515	1.2622690804692967e-06	84.25535280149278	365	1.3039942008144076	77.91678404401576	87031	0.10997498750289575	1.8785406008223133e-06	84.92652902876172	1502	0.6105136960876368	84.09924553938544	227104	0.052839197260802884	0.17721186213412624
SINE	91.44736765142073	114	1.8529768008148388	85.50283880970993	838778	0.02730895282626063	0.0017405369382801515	92.60299669758658	89	1.8711689703869474	87.37802705590077	522801	0.03204907761964887	0.006425095084666695	68.74998807907104	8	11.967843886646763	77.94409799975567	87388	0.10966420719627401	0.46748216049886704	96.07842950259938	17	3.9215704974006176	84.10379052481198	228589	0.05264786392721991	0.007584457018226655
Satellite	82.55800174655923	4434	0.37766705776336335	85.5192986960385	834458	0.027377147374135453	6.514049344004923e-15	84.54618565137064	1522	0.5926167051138908	87.3871858169214	521368	0.03209160749840641	1.8567640109489948e-06	84.30358957383908	859	0.8600433727752292	77.88012124829093	86537	0.11039750836228844	2.9868395990144483e-13	80.35367839207488	2053	0.5819677888517171	84.1386722040267	226553	0.0528545488158243	1.1625775555353846e-10
Simple_repeat	66.49820721488031	61966	0.14281958831759117	87.01948090650315	776926	0.02644880167223824	0.0	71.79449450623898	39162	0.16253718093698996	88.64061124372526	483728	0.03134992622810689	0.0	38.56238356261971	11483	0.329834995029805	83.9002145279164	75913	0.09945604670830914	0.0	76.51268120964407	11321	0.3093693314881213	84.5002399687204	217285	0.05285361705309772	3.361223076062724e-139
Unknown	83.68852757732493	105648	0.07556852174851884	85.76517444336935	733244	0.029269483523767247	1.7282711182265888e-144	83.19700018231535	48734	0.11007655049712513	87.80873590690217	474156	0.033416521437799974	0.0	83.23604015330693	12571	0.2421243412171703	77.05404042953637	74825	0.12114925484780475	6.687064404538904e-114	84.35700547633328	44343	0.11424517048651665	84.04395897028022	184263	0.05924516696485987	0.014997405483718522
rRNA	69.28472744334827	22	7.149539460622749	85.50407198617114	838870	0.02730644845406094	0.033959727412163396	79.0816285269601	7	13.50837226001841	87.37902746533808	522883	0.03204529030722694	0.5616090521054513	49.714280700683595	5	14.856538183071482	77.94487149138672	87391	0.10966062053823367	0.1302068259242834	72.21212005615234	10	9.924525052431632	84.10520124751628	228596	0.05264558682033054	0.261387027003258
snRNA	81.76473662299169	142	2.386133156225432	85.50427962854566	838750	0.027308101908112774	0.11933335399944886	87.48583271720193	110	1.9972798684738915	87.37889389027731	522780	0.03204933869801719	0.9574033177310224	31.02344634899726	13	11.360605247170499	77.95023667194698	87383	0.10964656046158754	0.0013938085799697457	83.36032626503392	19	5.105546216748053	84.10474287417375	228587	0.05264790565467649	0.8857010537601345
all_repeats	80.39624175150105	257596	0.056505310281395556	87.76694634200729	581296	0.029953849459649323	0.0	81.64898466474395	140420	0.0722221951773066	89.48260298306984	382470	0.03425190144045482	0.0	67.17432588996725	32807	0.2061476057126319	84.41518852580418	54589	0.11588614515170644	0.0	83.45259223321557	84369	0.08911923690475311	84.48610933015541	144237	0.06513034019787839	7.83378324087901e-21
