repeat_family	meth_CpG	meth_CHG	meth_CHH	unmeth_CpG	unmeth_CHG	unmeth_CHH	within_meth_C	outside_meth_C	odds_ratio_meth_C	fisher_p_meth_C	within_meth_CpG	outside_meth_CpG	odds_ratio_meth_CpG	fisher_p_meth_CpG	within_meth_CHG	outside_meth_CHG	odds_ratio_meth_CHG	fisher_p_meth_CHG	within_meth_CHH	outside_meth_CHH	odds_ratio_meth_CHH	fisher_p_meth_CHH
DNA	7910	1326	4913	716642	612043	3429289	0.014438801178452724	0.9855611988215472	1.1424095786142254	2.5288065683078725e-53	0.013421588905724792	0.9865784110942752	1.2077618576386557	2.3932369182710043e-58	0.011587161494971032	0.9884128385050289	1.4043080924992246	2.4490005153436974e-31	0.017791506574492202	0.9822084934255078	1.2364262798388974	4.687387098372333e-46
LINE	38953	4500	15455	5456277	7308339	39056506	0.06011455932011401	0.939885440679886	0.39983794305629305	0.0	0.06609496240767355	0.9339050375923265	0.763763179926884	0.0	0.039322946249901694	0.9606770537500983	0.3731300517709902	0.0	0.055967379220186644	0.9440326207798133	0.3012385531803895	0.0
LTR	6808	3685	10745	692037	722474	2299635	0.02167299875807329	0.9783270012419267	2.219179784239673	0.0	0.011551729111273626	0.9884482708887263	1.07483772624825	5.62150811241669e-09	0.032201123762419494	0.9677988762375805	3.3714343870332697	0.0	0.038910999011381786	0.9610890009886183	4.140988047074479	0.0
Low_complexity	2829	403	1154	122714	146484	1033129	0.004475834473722076	0.9955241655262779	1.292780505897094	1.8972338788723564e-59	0.004800211759076541	0.9951997882409235	2.524077355762176	0.0	0.003521588297491196	0.9964784117025088	1.7800621686178966	5.00021734716421e-26	0.004178994216764502	0.9958210057832355	0.9605550828720214	0.17845253768139618
RC	767	432	1766	20932	22683	83289	0.003025729415090277	0.9969742705849097	8.983684840932622	0.0	0.0013014359912377894	0.9986985640087622	4.004166401971255	3.744848016776931e-211	0.0037750028399905623	0.9962249971600095	12.346450685804376	9.883258224981777e-300	0.0063952372502652614	0.9936047627497347	18.34774110178795	0.0
SINE	84	5	16	5632	5213	20024	0.00010715062009594573	0.9998928493799041	1.3044077209452274	0.008617046232107416	0.0001425301476714137	0.9998574698523286	1.6283349579657402	3.48374127482593e-05	4.369216249989077e-05	0.9999563078375001	0.619612553661986	0.37558826134795675	5.794099433988912e-05	0.9999420590056601	0.6872317799431406	0.14579018798306725
Satellite	1691	1142	2723	66093	85254	510769	0.005669798526219756	0.9943302014737803	3.230482466185909	0.0	0.0028692676156233405	0.9971307323843767	2.7982911503048276	4.937705477747159e-282	0.009979289914975051	0.9900207100850249	8.730829895225446	0.0	0.009860832974219878	0.9901391670257801	4.621015688424274	0.0
Simple_repeat	53957	20716	18320	1577164	2752478	15326846	0.0948976915674503	0.9051023084325497	1.8995434276279113	0.0	0.09155356164174369	0.9084464383582563	4.010478600441882	0.0	0.18102536766954744	0.8189746323304525	5.715880645669275	0.0	0.06634243851917304	0.933657561480827	1.0300532224264132	0.00011550815591123076
Unknown	53907	15577	51185	2420814	2760809	12281842	0.12314055406054929	0.8768594459394508	2.881403641482607	0.0	0.09146872226812976	0.9085312777318703	2.5750819424988833	0.0	0.1361185630521597	0.8638814369478403	4.061757916517905	0.0	0.18535686220545153	0.8146431377945484	4.172515871824283	0.0
rRNA	8	3	11	711	705	1898	2.245060611534101e-05	0.9999775493938846	2.545727180362975	0.00010313616360698292	1.3574299778229878e-05	0.9999864257002218	1.2283572756756074	0.5502427325741375	2.6215297499934463e-05	0.9999737847025001	2.7490900078424843	0.09828478262028886	3.9834433608673766e-05	0.9999601655663913	4.9848930755265455	2.0816562006906967e-05
snRNA	102	24	23	2633	1698	7536	0.00015205183232662776	0.9998479481676734	4.8154115899049685	2.7101480292877626e-52	0.00017307232217243093	0.9998269276778275	4.22970355753806	1.4272706614200115e-31	0.0002097223799994757	0.9997902776200005	9.132806358120058	1.7645195271802727e-15	8.32901793635906e-05	0.9999167098206364	2.6251545745711042	4.57528022196867e-05
sum_repeats	167016	47813	106311	11081649	14418180	74050763	0.3277176203582096	0.6722823796417904	1.352600847220667	0.0	0.28339065647010514	0.7166093435298948	1.9005530702522058	0.0	0.4178106731214555	0.5821893268785445	2.9621175232931254	0.0	0.384985315579247	0.615014684420753	1.3817683389475468	0.0
not_repeats	422333	66624	169832	53257568	59511026	163457968																	
