repeat_family	C_meth_in_repeat	n	sem	C_meth_not_in_repeat	n	sem	ttest_C	CpG_meth_in_repeat	n	sem	CpG_meth_not_in_repeat	n	sem	ttest_CpG	CHG_meth_in_repeat	n	sem	CHG_meth_not_in_repeat	n	sem	ttest_CHG	CHH_meth_in_repeat	n	sem	CHH_meth_not_in_repeat	n	sem	ttest_CHH
DNA	81.95903532711922	8839	0.28489029717202863	85.12299155680044	632423	0.031233568919411345	3.7155041871615127e-28	82.55493839531508	4740	0.38941807957232466	87.44212793093351	364927	0.038003347014369256	2.928945145815492e-35	79.03247420087834	671	1.2159452769883636	79.86031875345756	69648	0.11492131426735304	0.49812626043068475	81.70790988151224	3428	0.438761497725855	82.69799436604778	197848	0.05734489990726984	0.025314642168346387
LINE	90.25505115355664	32698	0.11882471601188666	84.80129278097918	608564	0.032056693401281054	0.0	91.5337895915029	21948	0.13192167108017971	87.1172418346172	347719	0.039334108882053874	1.5909166517311062e-221	83.99407299923527	2255	0.6136563051051541	79.71520386865782	68064	0.11640688969965814	9.296468536110093e-12	88.61323296661725	8495	0.25388544701097	82.41973062882873	192781	0.058232039340077535	2.0721472756846516e-121
LTR	81.31567748698484	16159	0.1995476027155086	85.1766725964691	625103	0.03142862288897233	1.3784227610752546e-80	80.90451616435047	5355	0.338540981102097	87.47463751780197	364312	0.03806793855532585	3.0419000273152304e-80	83.82052058644732	2741	0.48297013827373403	79.69147094915726	67578	0.11739079345989203	1.448721683519357e-16	80.73723198866912	8063	0.2865648113930827	82.76225307242787	193213	0.058008020777862955	4.633206702893422e-12
Low_complexity	76.65869402711509	2159	0.6449717359898183	85.10782687951436	639103	0.031078365897949597	1.037093488368546e-37	76.97367576516193	1380	0.7990154763866584	87.41845396359264	368287	0.03786683389442657	7.820069695559216e-37	68.47719042911763	164	2.609947527209041	79.87901092579611	70155	0.11450125079508727	2.2511998140540013e-05	78.133640029663	615	1.183220650671979	82.69506937466375	200661	0.05691825765763047	0.00013010914403563444
RC	83.10036403928036	2433	0.4959867062761518	85.08691749572303	638829	0.031116376291016754	6.593470975634987e-05	80.23796588903546	653	1.014741333198752	87.39210012552377	369014	0.03787891091979439	4.705533312440766e-12	84.45310820379791	339	1.2693495916067934	79.83013242424283	69980	0.11479784655927691	0.0003299552216861716	84.07924378968873	1441	0.6306333214377857	82.67105018693773	199835	0.05709069072055547	0.026308030452768114
SINE	93.42722959921393	71	2.073942756057512	85.07845598157377	641191	0.031058144385175825	0.00014224344884821997	91.95402244041706	58	2.5016424670797277	87.37874481991516	369609	0.037861445695907145	0.07267568475821085	100.0	2	0.0	79.8518462211073	70317	0.11441661610860772	0.0	100.0	11	0.0	82.68018534970136	201265	0.056864372275087005	0.0
Satellite	81.36092696127517	3976	0.4083939530954152	85.10257962199826	637286	0.03114328336625269	1.0095871424570132e-19	83.25049696478224	1310	0.668490567242189	87.39414664692595	368357	0.03791567992614353	8.091325759070653e-10	84.10645908095081	805	0.8916872243108067	79.80315578400662	69514	0.11526482814651412	2.011386659817637e-06	78.8431999000537	1861	0.6204516626175869	82.71694862168665	199415	0.05709386798817894	6.212716686420719e-10
Simple_repeat	70.13224776454196	40792	0.1699055800648093	86.09479066693027	600470	0.030655076354147735	0.0	74.42596951597353	26374	0.19149296012834705	88.37463422624778	343293	0.037483477618013836	0.0	42.66792015250775	6645	0.4474763118431259	83.73298271376366	63674	0.10621797719024997	0.0	79.04230044815327	7773	0.35405452102255464	82.82730346828808	193503	0.057386019363275	7.229714227337476e-26
Unknown	82.32542971216664	91383	0.08279478985752711	85.53705244098408	549879	0.03346137636009764	8.942198890771757e-282	81.77508386582963	40417	0.12370866329438729	88.06742676640951	329250	0.0395336394655636	0.0	82.9860671631866	10841	0.2573675773674594	79.28125217077735	59478	0.12673423667397438	5.70921353323934e-38	82.70128908823881	40125	0.12320571836273883	82.67611296077631	161151	0.06405304146051193	0.8561293688996967
rRNA	69.4444448682997	9	10.393494142881158	85.07959978757059	641253	0.031055781573965414	0.17091179300712347	58.333351135253906	2	8.333351135253906	87.379619819954	369665	0.03785765063433227	0.17786183133835703	62.5	2	37.5	79.85291281951166	70317	0.11441431561475729	0.7240880682783224	76.66666030883789	5	14.52966788554054	82.68128131278773	201271	0.056862437575347514	0.7001425175377733
snRNA	79.11863625255124	116	2.7344903828830143	85.08045880466776	641146	0.031057287358559792	0.0312878059588433	84.75992145992461	84	2.2801860369291718	87.38005804932297	369583	0.03786266659575875	0.2538830292107145	40.94943327903748	15	10.961037934884091	79.86071957826604	70304	0.11439610769665569	0.003201409236268581	84.92275902804207	17	6.95846560092261	82.6809425541425	201259	0.05686390626699766	0.751501723294462
all_repeats	80.95839831553606	198635	0.06188859671124073	86.92872814621862	442627	0.03504308132549611	0.0	81.91670174587323	102321	0.08270952478387927	89.47021832421683	267346	0.04097643310650771	0.0	72.05369931494488	24480	0.22307216339081135	84.01727157005499	45839	0.12460903001915365	0.0	82.62797631813848	71834	0.09589208800286869	82.71063065751831	129442	0.07061027719409543	0.48763202452372256
