repeat_family	C_meth_in_repeat	n	sem	C_meth_not_in_repeat	n	sem	ttest_C	CpG_meth_in_repeat	n	sem	CpG_meth_not_in_repeat	n	sem	ttest_CpG	CHG_meth_in_repeat	n	sem	CHG_meth_not_in_repeat	n	sem	ttest_CHG	CHH_meth_in_repeat	n	sem	CHH_meth_not_in_repeat	n	sem	ttest_CHH
DNA	79.54890280588396	10131	0.26970554347805	81.99128193980697	772121	0.02978338542025899	2.627637653673637e-19	82.80947791617594	5670	0.3478532532787698	84.9686748991786	466308	0.036114064337948136	7.109420888397024e-10	78.48689842458852	711	1.0994325811338306	78.14039135483866	79352	0.10345693748709431	0.753776555640387	74.82026926981608	3750	0.44792382633865074	77.20985694212409	226461	0.05712512571267608	1.2773001119811935e-07
LINE	88.81903723000579	43378	0.10838868927136638	81.55694792347398	738874	0.03062694302674284	0.0	89.42049040939948	28792	0.12794493437482143	84.65183429712009	443186	0.037303904818471775	2.926562829343202e-275	86.54847043248009	3059	0.47253267802754934	77.80957805459565	77004	0.1052558600023232	1.327310830104845e-69	87.91929088598982	11527	0.21967154242005899	76.60437780857022	218684	0.05827139277388755	0.0
LTR	73.76607558184237	18212	0.2043845714263091	82.1549562437511	764040	0.029881870564033616	0.0	72.4221959091161	6139	0.3500713666561346	85.10773622213861	465839	0.03604335548097686	9.452220187696267e-259	77.46006655441927	3133	0.4887512057401313	78.17130028667677	76930	0.10533134976277062	0.15495878847307368	73.39435338875325	8940	0.2925063434939124	77.3235168794678	221271	0.05773939635969217	2.5500961694720388e-39
Low_complexity	75.45538323296327	2315	0.6284944889697301	81.97895640902765	779937	0.02963259245201571	1.1822450386132737e-24	74.64720677464119	1598	0.7637853940721365	84.97771239900722	470380	0.03594359883974304	1.792014038253757e-39	74.5568031837691	134	2.787423918398184	78.14948151412396	79929	0.1030676610538999	0.19997344936886197	77.87712544049448	583	1.1945908428383987	77.16913903618185	229628	0.05673263888092414	0.5540841745419514
RC	74.27365026502822	2647	0.532122036507044	81.98574686504136	779605	0.02964726890699638	9.65522439899488e-46	71.37177738310798	693	1.0840920699326337	84.96269126525223	471285	0.03593522418885174	1.3013029057804335e-32	77.2938140163174	385	1.4156262901015206	78.1475740000095	79678	0.10327317593574677	0.5478591675775335	74.81427159257723	1569	0.672767038483844	77.18710399053289	228642	0.05687013014376806	0.0004530268458336727
SINE	91.97916707992553	80	1.996853504307199	81.95862572887512	782172	0.029608182688932578	3.153217176792952e-06	90.56372597638298	68	2.309097452024326	84.9419259208419	471910	0.035929209334674604	0.01758895294007402	100.0	6	0.0	78.14183044042419	80057	0.10300693371861491	0.0	100.0	6	0.0	77.17033697240362	230205	0.05667063973123856	0.0
Satellite	73.2962839601902	4699	0.41048573688991147	82.01200599655994	777553	0.029671640870989082	3.444504566685018e-95	75.7487454573722	1556	0.6779874687031896	84.97314655083993	470422	0.03596644153913598	7.975328594627461e-40	73.60526813458173	975	0.9245769637007768	78.19941562737485	79088	0.10363129342914694	9.247066277828582e-07	71.39716511348956	2168	0.6152701992410184	77.2258230630457	228043	0.05689642740978045	9.738399886225414e-21
Simple_repeat	73.74443355491066	42111	0.15723932253221437	82.42706281038514	740141	0.029892816065687857	0.0	75.74282572211648	30735	0.17378879353369886	85.58356018362136	441243	0.03627523599033989	0.0	50.55644925350069	4285	0.5726501713658615	79.70342493227307	75778	0.10096882392086234	0.0	79.0948678339222	7091	0.3640806090203853	77.10978717695335	223120	0.05730979971761426	7.424750371250396e-08
Unknown	75.71733484054002	102364	0.08546488143193526	82.8994941422044	679888	0.031381915607028764	0.0	75.26906829123153	45957	0.1277272144801185	85.9862824208449	426021	0.036986969208292156	0.0	76.82624828965294	12332	0.2617752843282407	78.38329901612319	67731	0.11201474278158591	4.603712179683796e-08	75.87447301755896	44075	0.12761206589446805	77.47791950231692	186136	0.0632193862489014	2.2187281689095267e-29
rRNA	58.503400393894744	14	8.52593601439876	81.96007032305589	782238	0.029606024027959463	0.016499765299464793	61.1111167271932	6	13.379545800870245	84.94303884122475	471972	0.03592559311931228	0.13498283163373742	52.85715103149414	2	32.85715103149414	78.14410018944275	80061	0.10300135440776333	0.582421969132586	57.777767181396484	6	13.653565713597539	77.17143744110287	230205	0.056669853543061185	0.21473046769618853
snRNA	79.36326179684025	146	2.4614185563474154	81.96013520002374	782106	0.02960803070367538	0.2932000814957869	87.37456444331578	112	1.8743072402818732	84.94215867100668	471866	0.03593144123307433	0.19713904150431796	34.30952516943216	16	10.58850975968591	78.15223015436342	80047	0.10297829182552828	0.0008715783478883915	69.56292233202193	18	7.294841518322213	77.17152689321655	230193	0.05667122991525876	0.3115615079184542
all_repeats	77.81516882043113	226097	0.05912186707001175	83.64453131263602	556155	0.033744772109040505	0.0	78.95046039378236	121326	0.07941992387709515	87.01607016909885	350652	0.0391854912487606	0.0	73.49079624834185	25038	0.20276775983951514	80.2605717965117	55025	0.11699565811916642	4.175377387308194e-182	77.4456010759785	79733	0.09668520639255311	77.02539449049814	150478	0.06993901828492052	0.0004293902173725795
