repeat_family	C_meth_in_repeat	n	sem	C_meth_not_in_repeat	n	sem	ttest_C	CpG_meth_in_repeat	n	sem	CpG_meth_not_in_repeat	n	sem	ttest_CpG	CHG_meth_in_repeat	n	sem	CHG_meth_not_in_repeat	n	sem	ttest_CHG	CHH_meth_in_repeat	n	sem	CHH_meth_not_in_repeat	n	sem	ttest_CHH
DNA	83.02171188877888	9914	0.25779183830780245	84.87654158617053	856694	0.026710153115959638	8.833758043820469e-13	86.19949150321824	5951	0.31302470915668434	87.3162161125216	551896	0.031185012396277616	0.0003882149684820964	81.32046490721682	673	1.0205961204332272	81.43615767246725	80064	0.09640840086566749	0.910178124608765	77.62170360095595	3290	0.47414418514360296	80.11092661590206	224734	0.056015996451765956	1.9625197284875458e-07
LINE	89.4709704804154	63188	0.08636886857085975	84.49230724474327	803420	0.0278022063559535	0.0	89.47762574280793	40480	0.10643128784171647	87.13425729028526	517367	0.03239631313831675	4.757393420760243e-98	89.5403472935225	4353	0.3418906753638027	80.97329373955633	76384	0.09930327844384693	2.668599245390659e-121	89.43983987354511	18355	0.16351875113572173	79.25518854034863	209669	0.05844627109089432	0.0
LTR	76.65679783869224	16153	0.21327926069628358	85.01103987136266	850455	0.026740915490098705	0.0	75.68708829075962	5695	0.36489956808655893	87.42412526578913	552152	0.031085334904932094	1.3901228522346957e-207	79.50450935647416	2757	0.4971107024459053	81.50345304533438	77980	0.09780053974750122	8.147779598672707e-05	76.35441570922224	7701	0.3085171975174887	80.20505817172314	220323	0.05653913077042675	2.4123565627993878e-34
Low_complexity	79.73649440848459	2778	0.5401347671941449	84.87178401748186	863830	0.026596569898008907	4.524787152908759e-21	78.03757197898118	1909	0.6664801705897131	87.33612355454026	555938	0.031046695984756578	4.011342970591685e-42	81.98832710827787	163	2.215058428444125	81.43407430997995	80574	0.09607230853731168	0.8029141956026857	83.81042385303941	706	0.9872633739559071	80.06340997063599	227318	0.055720259176128335	0.00016388155911549698
RC	73.62082260616107	2245	0.5864035881276993	84.88450156073004	864363	0.026587904802177296	3.947952561236155e-76	70.78680714198521	595	1.1864704313339673	87.32193950191726	557252	0.031031780121638233	2.197370976144021e-38	78.32918802989815	343	1.436405434500573	81.44844502421473	80394	0.09619437265118114	0.03094023903682208	73.67535195646163	1307	0.7578619077714972	80.11190471794431	226717	0.055774002023578795	6.446750441918919e-17
SINE	95.24922087482203	107	1.5457210449723489	84.85403883279363	866501	0.02657191422927391	9.193287386842491e-10	94.95884732846861	81	1.8615431694221292	87.30319150851481	557766	0.031035971570850463	9.438671498900785e-05	100.0	7	0.0	81.43358355965532	80730	0.09598837813774769	0.0	94.73684210526316	19	3.6167593207172475	80.07378955262068	228005	0.05563652638238798	0.0007445286809749778
Satellite	75.7511765126596	4247	0.4281061050465193	84.90015889243467	862361	0.026608164203530196	5.1156792734188955e-96	77.86909167832711	1514	0.6809264771212865	87.32998002414182	556333	0.031055108035351806	2.4997154732571456e-41	77.3957801497943	844	0.9577768282378555	81.477866175066	79893	0.09645610247449692	2.4707665646646346e-05	73.31890068917504	1889	0.6634718538493571	80.1314479560591	226135	0.055808566312918854	5.829697764459502e-24
Simple_repeat	78.00021916152923	43333	0.14437830684379244	85.21614001683713	823275	0.026857083337965028	0.0	79.2726498109556	30610	0.16377904254058312	87.77059988365484	527237	0.031307864966930415	0.0	59.04016422912653	3926	0.5879953328646297	82.57985856202137	76811	0.09446982038726233	4.2548588738995e-290	82.03433004997665	8797	0.30242506660308255	79.99638906473943	219227	0.056572648993780894	3.6929359539204946e-11
Unknown	78.04911745093649	94302	0.08751605726215847	85.68639023318467	772306	0.027684957129813132	0.0	78.21962342257679	44679	0.1275796110582854	88.09526125299038	513168	0.031613811149923274	0.0	79.18486937727452	10923	0.2634894127079274	81.78727579802052	69814	0.10299677246459263	4.103381786621849e-20	77.53170518741435	38700	0.1350405987846713	80.59489233373657	189324	0.060986626688590256	1.3773247445442565e-94
rRNA	93.75	8	6.25	84.85524021381045	866600	0.026569776741694206	0.19769497742735437	100.0	3	0.0	87.30423484266547	557844	0.031033015378191676	0.0	100.0	1	NA	81.43496334684619	80736	0.09598289741492783	NA	87.5	4	12.5	80.07488109352371	228020	0.05563398356614042	0.5943211988050174
snRNA	79.96659714324134	140	2.4575982009329915	84.85611222305737	866468	0.026570865489507097	0.04861540785637543	85.41272679081669	108	2.024973212559212	87.30466940106119	557739	0.031036408734285977	0.3523056138381725	37.20364193121592	12	12.274162769248765	81.4417684368882	80725	0.09596158287988296	0.004139618662711573	76.21527017354965	20	8.084007193819195	80.07534991290419	228004	0.05563390531735975	0.6384634133030602
all_repeats	81.15228105558245	236415	0.05502405349234232	86.24450706931465	630193	0.029960643447355315	0.0	82.15443660791195	131625	0.07240404536453812	88.89467428489255	426222	0.0335348950055244	0.0	77.79431884347494	24002	0.19212255387258323	82.97548179941639	56735	0.10913110652954151	8.763073133394321e-121	80.51715064561606	80788	0.09320519285090115	79.83241069159206	147236	0.06933162251619761	3.7631912164082955e-09
