repeat_family	meth_CpG	meth_CHG	meth_CHH	unmeth_CpG	unmeth_CHG	unmeth_CHH	within_meth_C	outside_meth_C	odds_ratio_meth_C	fisher_p_meth_C	within_meth_CpG	outside_meth_CpG	odds_ratio_meth_CpG	fisher_p_meth_CpG	within_meth_CHG	outside_meth_CHG	odds_ratio_meth_CHG	fisher_p_meth_CHG	within_meth_CHH	outside_meth_CHH	odds_ratio_meth_CHH	fisher_p_meth_CHH
DNA	8822	1392	5298	715730	611977	3428904	0.013220447033836912	0.986779552966163	1.0444793835947592	9.224159128324805e-08	0.0119351535051227	0.9880648464948772	1.071240500160832	2.611347965708424e-10	0.011078304191769266	0.9889216958082307	1.341886835025658	2.344957694025595e-25	0.017172195175708702	0.9828278048242913	1.1926059323407807	4.832646402958756e-35
LINE	51929	5945	20969	5443301	7306894	39050992	0.06719570045698837	0.9328042995430116	0.4502613715415635	0.0	0.07025397714435691	0.9297460228556431	0.8154987605738565	0.0	0.047313590819014574	0.9526864091809855	0.45274089527756245	0.0	0.06796597973564283	0.9320340202643571	0.37053131959525665	0.0
LTR	7517	3837	11342	691328	722322	2299038	0.01934317082774385	0.9806568291722562	1.975670607405512	0.0	0.010169638279075872	0.9898303617209241	0.9436721996822802	5.409749420473647e-07	0.03053696349412261	0.9694630365058774	3.1918990157225107	0.0	0.0367623702685708	0.9632376297314292	3.9040856856729693	0.0
Low_complexity	3271	395	1184	122272	146492	1033099	0.004133520378681603	0.9958664796213184	1.19330783920328	9.360173283462228e-33	0.004425287589577913	0.9955747124104221	2.3290344719053446	0.0	0.003143627985451767	0.9968563720145482	1.5880832415968997	1.354208332818956e-17	0.0038376517719968107	0.9961623482280032	0.8816991583230233	1.1093090897958733e-05
RC	802	477	1870	20897	22638	83185	0.002683805293292447	0.9973161947067075	7.973210111004042	0.0	0.0010850139550111545	0.9989149860449889	3.3353759592856456	8.496190618449384e-175	0.0037962292381278303	0.9962037707618722	12.43893867983845	0.0	0.006061156092596314	0.9939388439074037	17.402794759914553	0.0
SINE	89	6	16	5627	5212	20024	9.460221897601195e-05	0.9999053977810239	1.1512651951194899	0.1389737116230328	0.00012040678553116304	0.9998795932144688	1.373572601292392	0.004074219454545892	4.775131117141925e-05	0.9999522486888286	0.6772065810410607	0.49691045930941985	5.186015908103798e-05	0.999948139840919	0.6150200564881839	0.04904467152007658
Satellite	1922	1197	2925	65862	85199	510567	0.0051511334368560015	0.994848866563144	2.934086273891446	0.0	0.0026002454133808466	0.9973997545866191	2.5382107414724495	2.5109339055445564e-269	0.00952638657869814	0.9904736134213019	8.334894191718794	0.0	0.009480685332002256	0.9905193146679977	4.442318433769071	0.0
Simple_repeat	56887	19088	19400	1574234	2754106	15325766	0.08128546517871296	0.9187145348212871	1.6022975665734063	0.0	0.07696158211810418	0.9230384178818958	3.316381568490905	0.0	0.15191283794000843	0.8480871620599916	4.628422454221625	0.0	0.06288044288575856	0.9371195571142414	0.9726259743054718	0.0001765245957538552
Unknown	60530	16482	53967	2414191	2759904	12279060	0.11162976611945107	0.8883702338805489	2.578419006001705	0.0	0.08189014301349773	0.9181098569865023	2.2823361624179612	0.0	0.13117285178788868	0.8688271482121114	3.8926098022952065	0.0	0.17492107532039855	0.8250789246796014	3.8881650030566255	0.0
rRNA	16	8	15	703	700	1894	3.323861747805825e-05	0.9999667613825219	3.7865301587740188	7.982305652779011e-12	2.1646163690995602e-05	0.999978353836309	1.9764853873156105	0.012103688587292407	6.366841489522567e-05	0.9999363315851048	6.7235663859393	3.623721554522901e-05	4.861889913847311e-05	0.9999513811008616	6.096255591475201	5.9133040339725894e-08
snRNA	99	24	24	2636	1698	7535	0.0001252840197249888	0.999874715980275	3.9648707194448445	4.639145761932409e-42	0.00013393563783803528	0.999866064362162	3.261778236625403	1.3507938762160363e-22	0.000191005244685677	0.9998089947553144	8.316311557904	1.3008416201391185e-14	7.779023862155697e-05	0.9999222097613785	2.4517840811539036	0.00014376032638350848
sum_repeats	191884	48851	117010	11056781	14417142	74040064	0.3048961335817423	0.6951038664182577	1.2168496659567838	0.0	0.2595970296051875	0.7404029703948125	1.6848611765824881	0.0	0.3887832170058336	0.6112167829941664	2.625162744047084	0.0	0.3792598258795159	0.6207401741204841	1.3486793007128746	0.0
not_repeats	547277	76800	191512	53132624	59500850	163436288																	
