repeat_family	meth_CpG	meth_CHG	meth_CHH	unmeth_CpG	unmeth_CHG	unmeth_CHH	within_meth_C	outside_meth_C	odds_ratio_meth_C	fisher_p_meth_C	within_meth_CpG	outside_meth_CpG	odds_ratio_meth_CpG	fisher_p_meth_CpG	within_meth_CHG	outside_meth_CHG	odds_ratio_meth_CHG	fisher_p_meth_CHG	within_meth_CHH	outside_meth_CHH	odds_ratio_meth_CHH	fisher_p_meth_CHH
DNA	8070	1335	4635	716482	612034	3429567	0.017071839125882927	0.982928160874117	1.3548995524044463	5.548432061785674e-253	0.017731743116040744	0.9822682568839592	1.6063630023794837	0.0	0.012200471568788725	0.9877995284312113	1.4796795241514062	8.655070897460313e-41	0.0179742427356526	0.9820257572643474	1.2493527944851832	1.2911198770576897e-47
LINE	30062	5742	21060	5465168	7307097	39050901	0.06914338034574122	0.9308566196542588	0.4645562732272034	0.0	0.06605348965977904	0.9339465103402209	0.763630413163389	0.0	0.052475736140812634	0.9475242638591874	0.5049802513722086	0.0	0.08166937476005258	0.9183306252399475	0.4519988509350171	0.0
LTR	5592	2997	8785	693253	723162	2301595	0.02112579294680128	0.9788742070531987	2.1605851910032428	0.0	0.012286977385985111	0.9877130226140148	1.144480448385412	1.3193310331430044e-22	0.027389373252179636	0.9726106267478204	2.8509143886439103	0.0	0.03406768553024986	0.9659323144697501	3.604551735240965	0.0
Low_complexity	2316	419	1290	123227	146468	1032993	0.004894170404677976	0.995105829595322	1.4144065549811242	1.6134447798062403e-95	0.005088812522521731	0.9949111874774783	2.6710149421586595	0.0	0.003829211675896986	0.996170788324103	1.936498237641687	4.793549615278554e-34	0.00500254004940493	0.9949974599505951	1.1510425346990574	8.35089672724316e-07
RC	682	367	1509	21017	22748	83546	0.0031103820857555932	0.9968896179142444	9.210135645919333	0.0	0.0014985190588772972	0.9985014809411227	4.60237656255138	1.0261059170217916e-219	0.0033539873151651406	0.9966460126848349	10.934253040352411	1.6340287419154692e-237	0.005851808476396931	0.9941481915236031	16.729136528849093	0.0
SINE	52	4	16	5664	5214	20024	8.754789295324578e-05	0.9999124521070467	1.065059374274054	0.5833577699166055	0.00011425658513433938	0.9998857434148657	1.3006198401744646	0.0674198790741336	3.655572005629581e-05	0.9999634442799437	0.5183404066750268	0.27356901210307827	6.204700836471232e-05	0.9999379529916352	0.7359924118716711	0.28104674417006137
Satellite	1288	822	2075	66496	85574	511417	0.005088721277907411	0.9949112787220926	2.8929246043869217	0.0	0.0028300477240967136	0.9971699522759033	2.7489181882816656	9.485634488402813e-210	0.0075122004715687885	0.9924877995284312	6.531947754952677	0.0	0.008046721397298628	0.9919532786027013	3.75949487401194	0.0
Simple_repeat	55752	22532	23985	1575369	2750662	15321181	0.12435327033938184	0.8756467296606182	2.575300378822346	0.0	0.12250063720018632	0.8774993627998137	5.573739127886542	0.0	0.2059183710771143	0.7940816289228857	6.710770943092704	0.0	0.09301234347672656	0.9069876565232734	1.487313104297558	0.0
Unknown	45906	13770	45345	2428815	2762616	12287682	0.12769954535892813	0.8723004546410719	3.0021970022069	0.0	0.10086659225340353	0.8991334077465964	2.8657150983897846	0.0	0.12584306629379832	0.8741569337062017	3.708737726524874	0.0	0.1758450996436175	0.8241549003563825	3.9110707721308855	0.0
rRNA	5	3	6	714	705	1903	1.7023201407575567e-05	0.9999829767985924	1.9264491563321668	0.0228711924355579	1.0986210109071093e-05	0.9999890137898909	0.992043145296773	1.0	2.7416790042221856e-05	0.9999725832099577	2.875284058371752	0.0888725237413178	2.3267628136767117e-05	0.9999767323718632	2.904242953974699	0.019170173759915674
snRNA	108	27	15	2627	1695	7544	0.00018239144365259536	0.9998176085563474	5.779336927986934	2.963395018812881e-62	0.00023730213835593562	0.9997626978616441	5.825160076831739	3.3534162353241173e-45	0.0002467511103799967	0.99975324888962	10.765448648176394	5.989647750109139e-19	5.8169070341917795e-05	0.999941830929658	1.8315336640722832	0.03254253676397442
sum_repeats	149833	48018	108721	11098832	14417975	74048353	0.3727740644230898	0.6272259355769102	1.6496979051122809	0.0	0.32921936385448985	0.6707806361455102	2.360273642079067	0.0	0.43883314141580304	0.561166858584197	3.2280382063702637	0.0	0.42161329977624296	0.578386700223757	1.609317185184924	0.0
not_repeats	305283	61404	149148	53374618	59516246	163478652																	
