repeat_family	meth_CpG	meth_CHG	meth_CHH	unmeth_CpG	unmeth_CHG	unmeth_CHH	within_meth_C	outside_meth_C	odds_ratio_meth_C	fisher_p_meth_C	within_meth_CpG	outside_meth_CpG	odds_ratio_meth_CpG	fisher_p_meth_CpG	within_meth_CHG	outside_meth_CHG	odds_ratio_meth_CHG	fisher_p_meth_CHG	within_meth_CHH	outside_meth_CHH	odds_ratio_meth_CHH	fisher_p_meth_CHH
DNA	3004	1123	4063	721548	612246	3430139	0.017108228870083994	0.982891771129916	1.3574048538881813	2.482046840799642e-150	0.016805124332186512	0.9831948756678135	1.5167311858266093	1.2937470911832405e-99	0.012957791983015254	0.9870422080169847	1.5726723199861097	8.422617721524706e-45	0.019048646013052284	0.9809513539869477	1.3255105967686052	6.017611533170761e-65
LINE	4383	1957	4542	5490847	7310882	39067419	0.022731592987088406	0.9772684070129116	0.14547892521263198	0.0	0.024519593857514475	0.9754804061424855	0.27127478877605327	0.0	0.022580942930330233	0.9774190570696698	0.21060380061602785	0.0	0.021294351511514514	0.9787056484884855	0.11055215532794037	0.0
LTR	5460	3269	9645	693385	722890	2300735	0.03838175790707245	0.9616182420929276	4.000610261064882	0.0	0.030544600151044727	0.9694553998489552	2.910682747602339	0.0	0.03771952091939169	0.9622804790806083	3.9710517516704003	0.0	0.045218850798889806	0.9547811492011102	4.84303039122574	0.0
Low_complexity	1347	264	607	124196	146623	1033676	0.004633217537710171	0.9953667824622898	1.3380062301095614	6.761764156502815e-39	0.007535453553746748	0.9924645464462533	3.9508585040136164	0.0	0.0030461772782867562	0.9969538227217133	1.5381380595357963	7.068805146986257e-11	0.002845810516840447	0.9971541894831596	0.6530703537254433	2.3929119684646304e-29
RC	648	380	1527	21051	22735	83528	0.005337182510752699	0.9946628174892473	15.853395285547618	0.0	0.003625073424519594	0.9963749265754804	11.187127131376245	0.0	0.0043846491126854825	0.9956153508873146	14.321678693124921	1.194377508878466e-286	0.007159065336433876	0.9928409346635662	20.501532689478573	0.0
SINE	3	0	0	5713	5218	20040	6.266750501862269e-06	0.9999937332494981	0.07613132696980443	1.8924292973742352e-13	1.678274733573886e-05	0.9999832172526643	0.19019815760237785	0.00020845945066338574	0.0	1.0	0.0	0.0038628487572861248	0.0	1.0	0.0	3.865786573833111e-08
Satellite	1330	912	2221	66454	85484	511271	0.009322835829937103	0.9906771641700629	5.329771399208787	0.0	0.007440351318844228	0.9925596486811558	7.29639355744628	0.0	0.010523157870445157	0.9894768421295549	9.190359337022848	0.0	0.010412759732953266	0.9895872402670467	4.878872215191272	0.0
Simple_repeat	27578	17823	9633	1603543	2755371	15335533	0.11496144903982938	0.8850385509601706	2.3518412527673336	0.0	0.15427820200833542	0.8457217979916646	7.183632764595656	0.0	0.20565158193524566	0.7943484180647543	6.690070986303939	0.0	0.04516259095341685	0.9548374090465831	0.6854330610434222	3.16e-322
Unknown	35407	12223	42694	2439314	2764163	12290333	0.1886793241100692	0.8113206758899308	4.769590603939717	0.0	0.19807557830550193	0.8019244216944981	6.309442689590774	0.0	0.1410357002746175	0.8589642997253825	4.228890648427589	0.0	0.2001631535518716	0.7998368464481285	4.5871623927922185	0.0
rRNA	7	4	8	712	704	1901	3.9689419845127704e-05	0.9999603105801549	4.502481503714742	1.2024842336755839e-07	3.9159743783390674e-05	0.9999608402562166	3.561316604972464	0.004228025006857884	4.615420118616297e-05	0.9999538457988139	4.848792972593629	0.010170862376352391	3.7506563648638515e-05	0.9999624934363514	4.687404746575454	0.00040284340125447686
snRNA	61	21	24	2674	1701	7535	0.00022142518439913352	0.9997785748156008	6.996920360964567	5.0753001135757765e-52	0.00034124919582669016	0.9996587508041733	8.265688435646254	2.1637582472952106e-34	0.00024230955622735558	0.9997576904437726	10.53757399463826	6.394158241978521e-15	0.00011251969094591554	0.999887480309054	3.5479284351981786	2.185744029164225e-07
sum_repeats	79228	37976	74964	11169437	14428017	74082110	0.4014229701472895	0.5985770298527104	1.8609141495901553	0.0	0.4432211686386395	0.5567788313613605	3.818670948805543	0.0	0.4381879860614312	0.5618120139385687	3.2180374513300034	0.0	0.3514552546695672	0.6485447453304328	1.1959321283467483	0.0
not_repeats	99527	48690	138332	53580374	59528960	163489468																	
