repeat_family	C_meth_in_repeat	n	sem	C_meth_not_in_repeat	n	sem	ttest_C	CpG_meth_in_repeat	n	sem	CpG_meth_not_in_repeat	n	sem	ttest_CpG	CHG_meth_in_repeat	n	sem	CHG_meth_not_in_repeat	n	sem	ttest_CHG	CHH_meth_in_repeat	n	sem	CHH_meth_not_in_repeat	n	sem	ttest_CHH
DNA	45.90351083028302	8190	0.34218552509108147	52.57487394048996	470527	0.04495572599428125	1.6716855753811794e-81	39.549680422133356	3004	0.47425876660721833	51.03106672893133	175751	0.06473492100331835	8.059847394228204e-117	34.13987912392892	1123	1.0620031596266035	43.382922382805305	85543	0.1234988965449844	1.7714711307916542e-17	53.852677690316796	4063	0.48421096292428245	57.62968256693827	209233	0.06646654956491156	1.3579847371781637e-14
LINE	34.84738144538701	10882	0.27342214491113326	52.87043136876941	467835	0.045007022140506246	0.0	35.694051357292565	4383	0.38954668698977474	51.218780661834955	174372	0.06486097162708487	6.419325893268281e-292	24.748020993365763	1957	0.6588016875508816	43.69090104433377	84709	0.1242491016092396	4.1119520145777885e-149	38.38183635087435	4542	0.4413019326257776	57.974958569791625	208754	0.0663088731783607	0.0
LTR	58.55024625344908	18374	0.21427683588261215	52.21768385668092	460343	0.0455377722730896	4.640849304073744e-180	61.24518633211925	5460	0.31182535335325834	50.51022551886164	173295	0.06537540447299447	6.219699903726794e-228	58.49129223203615	3269	0.5921327333115461	42.66623954509107	83397	0.12495250379926552	4.80780895316169e-138	57.04463172431064	9645	0.3074888292609818	57.58203656747561	203651	0.06742296178962452	0.08782092168972011
Low_complexity	26.991473394863448	2218	0.518518057724171	52.57929266652633	476499	0.04466152225435891	0.0	25.289601956284656	1347	0.5561515630795655	51.03210201811295	177408	0.06437054496177207	7.756775567957778e-281	19.61859815229069	264	1.5108171810788873	43.33539852938915	86402	0.12293170145607592	1.3787784811259724e-39	33.9747681095337	607	1.2282730751497037	57.62503993032769	212689	0.06589721409843537	9.423256575170733e-65
RC	59.55659700830389	2555	0.5401013473387866	52.42266362906053	476162	0.04472936685506969	2.361670311615359e-38	58.866328570577835	648	0.9069768672108273	50.808911877415056	178107	0.06437793767882145	7.427763299646107e-18	59.37892931386044	380	1.608147456590697	43.19217973378322	86286	0.1230068859398114	3.3586911114231592e-21	59.89373366287821	1527	0.7133327764787952	57.54089158791295	211769	0.06613283647497531	0.0010451446142729108
SINE	59.09089914957682	3	9.321806652144991	52.46069718370361	478714	0.04459046488044775	0.5506913110300065	59.09089914957682	3	9.321806652144991	50.837982097918065	178752	0.0642397531433436	0.46937724383061774	NA	0	NA	43.26315295096677	86666	0.12272361217286455	NA	NA	0	NA	57.557735738053935	213296	0.06585895431540863	NA
Satellite	54.183058290665336	4463	0.4304196115431655	52.44453072645818	474254	0.04482658999289772	5.9787320387907565e-05	62.07090473175049	1330	0.6589971135165117	50.75391824923923	177425	0.06449010867803232	1.8617118222169519e-59	53.6379412736809	912	1.0442869441635187	43.15281632584939	85754	0.123476475071879	2.5258715346296584e-22	49.683423420267566	2221	0.6187367978933471	57.64059182076294	211075	0.0662092856023924	3.3152527334200285e-36
Simple_repeat	19.35422544394329	55034	0.0815237286487088	56.76108557864007	423683	0.04523889432205689	0.0	25.90147493449951	27578	0.11533247345298896	55.387111616984534	151177	0.06663077101334842	0.0	9.282575343464893	17823	0.08106589532544438	52.06050104298057	68843	0.1340224103842039	0.0	19.24491093032001	9633	0.23062992594478215	59.369883459401954	203663	0.06543244740310913	0.0
Unknown	58.81298744356335	90324	0.09418786641864038	50.98347083094835	388393	0.050110270158626714	0.0	59.05625733282948	35407	0.12765186093003775	48.80823831013342	143348	0.07264790297866368	0.0	51.097974414922184	12223	0.3181243042025939	41.976732162525586	74443	0.1323903514674788	2.6662108358052595e-151	60.81999421921883	42694	0.14039495331709922	56.74133930896838	170602	0.0743372821244012	1.0939578597036671e-144
rRNA	20.635194678055612	19	2.708004092208622	52.4620019210401	478698	0.04459092280391184	7.019449890306519e-10	16.66727147783552	7	3.7428772574989844	50.83945877863894	178748	0.06423923297222599	9.684681404548659e-05	25.128049850463867	4	8.045582123869519	43.26399000079717	86662	0.12272814164309494	0.10950211322597597	21.860699892044067	8	4.09672104103553	57.55907466141938	213288	0.06585956639511431	5.2490614408151316e-05
snRNA	60.84278878850757	106	3.1625271243690656	52.45888232549054	478611	0.0445942801044255	0.009273752949230316	72.78765087440365	61	2.4485124691835285	50.83062778806877	178694	0.06424826913835964	1.1197090335638804e-12	23.993366797765095	21	7.385727165027043	43.26782333597707	86645	0.12273669309586997	0.016779874660431706	62.72617522875468	24	7.268210734363081	57.557154121396444	213272	0.06586139169722144	0.4841387489188004
all_repeats	45.112598162488865	192168	0.07198257154728749	57.38861311890035	286549	0.054844042428785884	0.0	45.11621562996421	79228	0.09787792959227319	55.3930161336491	99527	0.08228338156826945	0.0	30.15742457505023	37976	0.17101783009990415	53.48502891736247	48690	0.1582034444743327	0.0	52.6849137732278	74964	0.1164768367925119	60.19838450891843	138332	0.07864224621983669	0.0
